id,Join_Count,Status,Score,Match_type,Side,X,Y,Match_addr,ARC_Street,Entry_no,Owner_name,street,city,state,zip,Entry_no_1,License_Nu,Status_1,License_Ty,Orig_Iss_D,Expir_Date,Census_tra,Business_N,Mailing_Ad,Geo_Code,Tract2010,coords.x1,coords.x2
2397,1,M,79,A,L,-122.46090311,37.78885285,"9 Presidio Ter, San Francisco, CA, 94118",8 PRESIDIO TER,3073,PRESIDIO GOLF CLUB,8 PRESIDIO TER,San Francisco,CA,94118,3073,14495,ACTIVE,50,1938/01/28,2013/05/31,Census Tract: 0401.00,NA,NA,3800,40100,1827301.23721865,644847.067333629
2539,1,M,100,A,R,-122.41009558,37.78897129,"595 Sutter St, San Francisco, CA, 94102",595 SUTTER ST,3274,FRANCISCA CLUB,595 SUTTER ST,San Francisco,CA,94102,3274,23181,ACTIVE,50,1938/02/10,2014/01/31,Census Tract: 0121.00,FRANCISCA CLUB,NA,3800,12100,1831775.9313463,644768.486432888
2465,1,M,100,A,R,-122.43824372,37.78612877,"1770 Scott St, San Francisco, CA, 94115",1770 SCOTT ST,3170,CALIFORNIA TENNIS CLUB,1770 SCOTT ST,San Francisco,CA,94115,3170,26221,ACTIVE,50,1938/04/23,2014/01/31,Census Tract: 0153.00,CALIFORNIA TENNIS CLUB,NA,3800,15300,1829290.65414212,644504.12327016
2378,1,M,100,A,R,-122.40911118,37.79208699,"800 Powell St, San Francisco, CA, 94108",800 POWELL ST,3050,UNIVERSITY CLUB,800 POWELL ST,San Francisco,CA,94108,3050,555,ACTIVE,50,1939/01/01,2013/05/31,Census Tract: 0113.00,UNIVERSITY CLUB,NA,3800,11300,1831869.29662636,645111.998913997
2620,1,M,100,A,R,-122.41077367,37.78364936,"144 Taylor St, San Francisco, CA, 94102",144 TAYLOR ST,3382,ORIGINAL JOES INC,144 TAYLOR ST,San Francisco,CA,94102,3382,31755,ACTIVE,47,1939/03/08,2013/05/31,Census Tract: 0125.01,ORIGINAL JOES,"2727 GOUGH ST SAN FRANCISCO, CA 94123",3800,12501,1831703.68090223,644178.957921878
2407,1,M,100,A,R,-122.43693372,37.72152199,"25 Russia Ave, San Francisco, CA, 94112",25 RUSSIA AVE,3091,ITALIAN AMERICAN SOCIAL CLUB OF S F,25 RUSSIA AVE,San Francisco,CA,94112,3091,18918,ACTIVE,47,1940/06/04,2013/08/31,Census Tract: 0260.01,NA,NA,3800,26001,1829257.0931699,637332.907152063
1639,1,M,100,A,L,-122.41594703,37.80826426,"206 Jefferson St, San Francisco, CA, 94133",206 JEFFERSON ST,2130,TARANTINOS INC,206 JEFFERSON ST,San Francisco,CA,94133,2130,49783,ACTIVE,47,1947/03/06,2013/03/31,Census Tract: 0101.00,TARANTINOS INC,NA,3800,10100,1831304.21081547,646919.526311179
2538,1,M,100,A,R,-122.4103845,37.78893525,"609 Sutter St, San Francisco, CA, 94102",609 SUTTER ST,3273,MARINES MEMORIAL ASSOCIATION,609 SUTTER ST,San Francisco,CA,94102,3273,1436,ACTIVE,52,1949/10/17,2013/06/30,Census Tract: 0121.00,MARINES MEMORIAL ASSOCIATION,NA,3800,12100,1831749.71603587,644765.028339383
7351,1,M,100,A,R,-122.4103845,37.78893525,"609 Sutter St, San Francisco, CA, 94102",609 SUTTER ST,3272,MARINES MEMORIAL ASSOCIATION,609 SUTTER ST,San Francisco,CA,94102,3272,1436,ACTIVE,21,1949/10/17,2013/06/30,Census Tract: 0121.00,MARINES MEMORIAL ASSOCIATION,NA,3800,12100,1831749.71603587,644765.028339383
2492,1,M,79,A,L,-122.41587149,37.80828707,"9 Fishermans Wharf, San Francisco, CA, 94133",8 FISHERMANS WHARF,3210,ALIOTO FISH CO LTD (est. address),8 FISHERMANS WHARF,San Francisco,CA,94133,3210,11059,ACTIVE,47,1950/09/13,2013/09/30,Census Tract: 0107.00,NA,"8 FISHERMANS WHARF SAN FRANCISCO, CA 94133",3800,10100,1831310.58549672,646921.392432333
7181,1,M,79,A,L,-122.41587149,37.80828707,"9 Fishermans Wharf, San Francisco, CA, 94133",8 FISHERMANS WHARF,3209,ALIOTO FISH CO LTD (est. address),8 FISHERMANS WHARF,San Francisco,CA,94133,3209,11059,ACTIVE,21,1950/09/13,2013/09/30,Census Tract: 0107.00,NA,"8 FISHERMANS WHARF SAN FRANCISCO, CA 94133",3800,10100,1831310.58549672,646921.392432333
2862,1,M,100,A,R,-122.44249722,37.80787791,"1 Yacht Rd, San Francisco, CA, 94123",1 YACHT RD,3681,GOLDEN GATE YACHT CLUB INC,1 YACHT RD,San Francisco,CA,94123,3681,24057,ACTIVE,51,1950/12/28,2013/07/31,Census Tract: 0127.00,GOLDEN GATE YACHT CLUB,NA,3800,12700,1828966.14826812,646924.803414414
896,1,M,100,A,L,-122.4154968,37.80390367,"1025 Columbus Ave, San Francisco, CA, 94133",1025 COLUMBUS AVE,1166,BIMBOS 365 CLUB INC,1025 COLUMBUS AVE,San Francisco,CA,94133,1166,9764,ACTIVE,47,1951/06/08,2013/04/30,Census Tract: 0103.00,BIMBOS 365 CLUB,NA,3800,10300,1831333.8896395,646434.732655801
530,1,M,100,A,R,-122.44399394,37.80751105,"99 Yacht Rd, San Francisco, CA, 94123",99 YACHT RD,698,ST FRANCIS YACHT CLUB,99 YACHT RD,San Francisco,CA,94123,698,3798,ACTIVE,47,1951/11/07,2013/08/31,Census Tract: 0128.00,NA,"700 MARINA BLVD SAN FRANCISCO, CA 94123",3800,12700,1828833.07993442,646886.635454569
16910,1,M,100,A,R,-122.44399394,37.80751105,"99 Yacht Rd, San Francisco, CA, 94123",99 YACHT RD,699,ST FRANCIS YACHT CLUB,99 YACHT RD,San Francisco,CA,94123,699,3798,ACTIVE,21,1951/11/07,2013/08/31,Census Tract: 0128.00,NA,"700 MARINA BLVD SAN FRANCISCO, CA 94123",3800,12700,1828833.07993442,646886.635454569
2524,1,M,100,A,R,-122.40918756,37.80089381,"1630 Stockton St, San Francisco, CA, 94133",1630 STOCKTON ST,3253,ITALIAN ATHLETIC CLUB SAN FRANCISCO,1630 STOCKTON ST,San Francisco,CA,94133,3253,28553,ACTIVE,57,1954/03/18,2013/03/31,Census Tract: 0106.00,SAN FRANCISCO ITALIAN ATHLETIC CLUB,NA,3800,10600,1831882.10259566,646089.091456748
2083,1,M,100,A,L,-122.39680666,37.764647,"136 Missouri St, San Francisco, CA, 94107",136 MISSOURI ST,2669,MONTE CRISTO SOCIAL CLUB INC,136 MISSOURI ST,San Francisco,CA,94107,2669,26958,ACTIVE,48,1954/12/10,2013/08/31,Census Tract: 0227.02,MONTE CRISTO SOCIAL CLUB INC,NA,3800,22702,1832890.9011893,642045.367041084
1865,1,M,100,A,R,-122.40985136,37.78748098,"414 Mason St, San Francisco, CA, 94102",414 MASON ST,2404,CERCLE DE LUNION,414 MASON ST,San Francisco,CA,94102,2404,21970,ACTIVE,51,1956/03/05,2013/10/31,Census Tract: 0123.02,NA,NA,3800,12302,1831793.93253644,644602.398344823
2420,1,M,100,A,L,-122.42369725,37.7911986,"1870 Sacramento St, San Francisco, CA, 94109",1870 SACRAMENTO ST,3109,"LIEBERMAN, RICHARD P",1870 SACRAMENTO ST,San Francisco,CA,94109,3109,50234,ACTIVE,40,1957/12/11,2013/04/30,Census Tract: 0131.01,NA,"1499 SUTTER ST SAN FRANCISCO, CA 94109",3800,13101,1830582.80446126,645039.513362739
2044,1,M,100,A,R,-122.44005089,37.71765483,"5051 Mission St, San Francisco, CA, 94112",5051 MISSION ST,2619,GRAND LODGE OF CALIFORNIA ORDER SON,5051 MISSION ST,San Francisco,CA,94112,2619,31119,ACTIVE,47,1958/05/05,2013/09/30,Census Tract: 0260.04,NA,NA,3800,26004,1828973.94047707,636909.499086015
4010,1,M,100,A,R,-122.394461,37.7600819,"1309 20th St, San Francisco, CA, 94107",1309 20TH ST,169,"WONG, LINDA",1309 20TH ST,San Francisco,CA,94107,169,7121,ACTIVE,20,1958/09/15,2014/01/31,Census Tract: 0614.00,HILLTOP GROCERY,NA,3800,61400,1833087.40092858,641534.245028495
404,1,M,100,A,L,-122.41204073,37.78003121,"26 7th St, San Francisco, CA, 94103",26 7TH ST,534,SAN FRANCISCO ODD FELLOWS CLUB,26 7TH ST,San Francisco,CA,94103,534,9757,ACTIVE,40,1959/08/06,2013/07/31,Census Tract: 0176.01,SAN FRANCISCO ODD FELLOWS CLUB,NA,3800,17601,1831583.81307383,643780.083306988
