OBJECTID,SITE_NO,WIFI,SITENAME_EN,ADDRESS_EN,ACCESSHOURS_EN,COMPUTERS,ACCESSIBLECOMPUTERS,ACCESSCRITERIA_EN,LOCATIONTYPE_EN,LOCATIONTYPE_FR,SITENAME_FR,ADDRESS_FR,ACCESSHOURS_FR,ACCESSCRITERIA_FR,URL_EN,URL_FR,lat,lng
1,50,wifi,Bibliothèque Ottawa Library - Rockcliffe Park,380 Springfield,"Mon 10-5, Tues 1-8:30, Wed 10-5, Thurs 1-8:30, Fri 2-6, Sat 10-2, Sun closed",6,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Rockcliffe Park,380 Springfield,"lundi 10h - 17h, mardi 1-8:30, mercredi 10h - 17h, jeudi 1-8:30, vendredi 2-6, samedi 10h - 14h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/rockcliffe-park,https://biblioottawalibrary.ca/fr/branch/rockcliffe-park,45.4507319,-75.678829
2,51,wifi,Bibliothèque Ottawa Library - Rosemount,18 Rosemount,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",7,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Rosemount,18 Rosemount ,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/rosemount,https://biblioottawalibrary.ca/fr/branch/rosemount,45.4016123,-75.7263082
3,52,wifi,Bibliothèque Ottawa Library - Ruth E. Dickinson,100 Malvern,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",14,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Ruth E. Dickinson,100 Malvern,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/ruth-e-dickinson,https://biblioottawalibrary.ca/fr/branch/ruth-e-dickinson,45.2799047,-75.7618269
4,53,wifi,Bibliothèque Ottawa Library - St-Laurent,515 Côté,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",12,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - St-Laurent,515 Côté,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/st-laurent,https://biblioottawalibrary.ca/fr/branch/st-laurent,45.4355506,-75.6463689
5,54,wifi,Bibliothèque Ottawa Library - Stittsville,1637 Stittsville Main,"Mon-Thurs 10-8:30, Fri 1-6, Sat 10-5, closed Sun",6,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Stittsville,1637 Stittsville Main,"lundi-jeudi 10h - 20h 30, vendredi 13h - 18h, samedi 10h - 17h, fermer dimanche",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/stittsville,https://biblioottawalibrary.ca/fr/branch/stittsville,45.2541434,-75.9155767
6,56,wifi,Bibliothèque Ottawa Library - Vanier,310 Pères Blancs,"Mon-Wed 10-8:30, Thurs-Fri 1-6, Sat 10-5, Sun closed",10,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Vanier,310 Pères Blancs,"lundi-mercredi 10h - 20h 30, jeudi-vendredi 13h - 18h, samedi 10h - 17h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/vanier,https://biblioottawalibrary.ca/fr/branch/vanier,45.4436443,-75.6602039
7,57,wifi,Bibliothèque Ottawa Library - Vernon,8682 Bank,"Mon closed, Tues 10-1 & 5:30-8:30, Wed 3-8:30, Thurs 5:30-8:30, Fri closed, Sat 10-2, Sun closed",1,1,"Library card or ""internet only"" cards (for people without proof of address)",C. Ottawa Public Libraries,C. Bibliotheque publique d'Ottawa,Bibliothèque Ottawa Library - Vernon,8682 Bank,"lundi fermer, mardi 10h - 13h & 5:30-8:30, mercredi 3-8:30, jeudi 5:30-8:30, vendredi fermer, samedi 10h - 14h, dimanche fermer",Carte de bibliothèque ou cartes pour 'Internet seulement'  (pour les personnes sans address ),https://biblioottawalibrary.ca/en/branch/vernon,https://biblioottawalibrary.ca/fr/branch/vernon,45.1632231,-75.4637736
8,58, ,ITO 2.0 Employment Services,"301 Moodie Drive, suite 203",8:30-4:30 weekdays. (Hours subject to change),10,0,none,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,ITO 2.0 Employment Services,"301, promenade Moodie, bureau 203",8:30-16:30 jours de semaine.  (Les heures peuvent être modifiées.),aucun,http://www.itoinsight.com/,http://www.itoinsight.com/fr.html,45.32658,-75.8346534
9,59, ,City of Ottawa Employment Ontario,"370 Catherine Street, 1st Floor","Summer Mon-Fri 8-4, Regular Mon-Fri 8:30-4:30",33,0,sign-in,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Ville d'Ottawa Emploi Ontario,"370, rue Catherine, 1er étage","ete lundi-vendredi 8h-16h, regulier: lundi-vendredi 8h30-16h30",avec inscription,http://www.eoon.ca/cityofottawa.php,http://www.eoon.ca/fr/cityofottawa.php,45.4071597,-75.697637
10,60,wifi,Community Employment Resource Centre,415 Hazeldean Road,"Mon & Wed 8:30-4:30, Tues &Thurs 8:30-7, Fri 8-4",14,0,none,D. Employment Ontario Centres,D. Centres de ressources en emploi de l'Ontario,Centre Emplois et Ressources Communautaires,"415, rue Hazeldean","lundi & mercredi 8h30-16h30, mardi &jeudi 8h30-19h, vendredi 8h-16h",aucun,http://www.cercottawa.ca/,http://www.cercottawa.ca/fr/index.php,45.3036249,-75.8791559
